label_classify,label_name,label_value,created,updated
基本属性,身高,180,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,身高,170,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,年龄,20,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,体型,正常,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,地域省,浙江,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,地域市,杭州,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,民族,汉,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,信仰,道教,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,属相,猴,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,学历,本科,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,星座,白羊,"2019-05-16 15:38:40","2019-05-16 15:38:40"
基本属性,健康,是,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,职业,民工,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,职业,老板,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,职业,白领,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,职业,工人,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,职业,农民,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,职业,官员,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,家庭人数,4,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,子女数量,0,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,父母数量,2,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,工作地点,杭州,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,公司名称,保密,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,行业,it,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,年收入,10,"2019-05-16 15:38:40","2019-05-16 15:38:40"
社会属性,婚姻状况,否,"2019-05-16 15:38:40","2019-05-16 15:38:40"
偏好属性,兴趣爱好,3c,"2019-05-16 15:38:40","2019-05-16 15:38:40"
偏好属性,支付爱好,支付宝,"2019-05-16 15:38:40","2019-05-16 15:38:40"
偏好属性,网购爱好,3c,"2019-05-16 15:38:40","2019-05-16 15:38:40"
偏好属性,价格等级爱好,中,"2019-05-16 15:38:40","2019-05-16 15:38:40"
使用属性,手机类型,ios,"2019-05-16 15:38:40","2019-05-16 15:38:40"
使用属性,手机品牌,ios7,"2019-05-16 15:38:40","2019-05-16 15:38:40"
使用属性,电脑品牌,ios,"2019-05-16 15:38:40","2019-05-16 15:38:40"
使用属性,频繁程度,中度,"2019-05-16 15:38:40","2019-05-16 15:38:40"
消费属性,月消费金额,100,"2019-05-16 15:38:40","2019-05-16 15:38:40"
消费属性,单笔最大消费,300,"2019-05-16 15:38:40","2019-05-16 15:38:40"
消费属性,平均消费金额,100,"2019-05-16 15:38:40","2019-05-16 15:38:40"
运动属性,运动时长,10m,"2019-05-16 15:38:40","2019-05-16 15:38:40"
运动属性,运行频率,中度,"2019-05-16 15:38:40","2019-05-16 15:38:40"
出行属性,出行工具,公共,"2019-05-16 15:38:40","2019-05-16 15:38:40"
出行属性,旅游频率,低,"2019-05-16 15:38:40","2019-05-16 15:38:40"
出行属性,国内旅游频率,低,"2019-05-16 15:38:40","2019-05-16 15:38:40"
出行属性,国外旅游频率,无,"2019-05-16 15:38:40","2019-05-16 15:38:40"